id_estaciones,lat,lon,pertenece_poligono
ICRUZA12,-33.00784,-61.79809,True
ICASER18,-33.09416,-61.79478,True
ISANJO101,-33.24291,-61.75671,True
IGENER114,-34.3705,-61.7393,True
ILINCO23,-34.99394,-61.73475,False
ISANTA1082,-31.43806,-61.83708,False
IMONTE694,-32.59323,-61.76208,True
ICASER19,-33.09408,-61.79477,True
ICASER17,-33.09413,-61.79476,True
ICAADA4,-33.4649,-61.71279,True
IGENER51,-34.363,-61.73639,True
ILINCOLN80,-34.80903,-61.60336,False
ICASTE207,-31.71647,-61.55993,False
IARMST35,-32.86566,-61.66736,True
IARTEA81,-33.09403,-61.79472,True
IARTEA71,-33.09411,-61.79469,True
ISANTAFE23,-34.09528,-61.62832,True
IGENER96,-34.00431,-61.6076,True
ISANMA74,-32.25071,-61.65815,True
ILASPA77,-32.70896,-61.62049,True
IGENER29,-33.69802,-61.60375,True
IVEDIA1,-34.51663,-61.5843,True
ILINCO26,-34.86113,-61.54221,False
ICASTE222,-31.55134,-61.54561,False
IBELGR49,-32.39304,-61.77858,True
IBELGR27,-32.49019,-61.63215,True
ILASPA81,-32.6708,-61.58348,True
ICASER2,-33.11932,-61.70699,True
ICASER22,-33.11932,-61.70696,True
IGENER106,-33.77736,-61.54684,True
ILINCO64,-34.87087,-61.5377,False
IBUENOSA182,-34.86845,-61.52909,False
ILINCO220,-34.865,-61.526,False
ILINCO4,-34.8643,-61.52469,False
ILINCO137,-34.86939,-61.52623,False
ICENTE27,-32.25333,-61.5048,True
ICENTE26,-32.27552,-61.51979,True
ILASRO58,-32.41925,-61.67976,True
ILASPA72,-32.71113,-61.55494,True
IBERRE2,-32.92623,-61.54516,True
ICASER34,-33.11229,-61.70878,True
ICASER37,-33.11679,-61.70887,True
IGENER180,-33.42926,-61.4992,True
IGENER126,-33.44792,-61.49831,True
IGENER151,-33.85687,-61.47628,True
ILEAND6,-34.49901,-61.53946,True
ILINCO42,-34.86227,-61.5207,False
ILASRO40,-32.38337,-61.65745,True
IBELGR26,-32.48584,-61.57531,True
IBELGR17,-32.48604,-61.57523,True
ILASRO28,-32.477,-61.572,True
ILASRO54,-32.47395,-61.56774,True
IBELGRAN3,-32.68311,-61.52012,True
ISANJO74,-33.11068,-61.70217,True
ICASER23,-33.11057,-61.70212,True
ICONST1,-33.43489,-61.48514,True
ICONST54,-33.43706,-61.48428,True
IGENER311,-33.45,-61.4833,True
IBUENOSA510,-34.4869,-61.49007,True
ILEAND21,-34.48828,-61.49057,True
ILINCOLN82,-34.84235,-61.50777,False
ICENTE25,-32.27037,-61.43247,True
IBERRE5,-32.89731,-61.5049,True
ICONST4,-33.42855,-61.47077,True
IMELIN3,-33.65755,-61.45428,True
IMELIN1,-33.68913,-61.41368,True
IGENER224,-33.818,-61.432,True
IGENER305,-33.83686,-61.40856,True
ICENTE28,-32.32371,-61.47873,True
IPUEBL104,-33.14608,-61.46517,True
IGENER294,-33.83624,-61.40601,True
IHUGHE7,-33.83424,-61.40392,True
IHUGHE2,-33.97365,-61.30061,True
ICENTE23,-32.31177,-61.39925,True
ICAADA2,-32.81924,-61.40066,True
IIRION6,-32.81636,-61.39493,True
IIRION4,-32.82331,-61.38966,True
ICASER14,-33.24828,-61.36031,True
ISANCA85,-31.77721,-61.16613,False
ISANJE10,-32.016,-61.228,False
ISANJERN2,-32.03773,-61.21395,False
ISANJE11,-32.03663,-61.20859,False
ISANGE132,-32.35879,-61.34379,True
ICASER21,-33.24656,-61.3591,True
ICASER16,-33.24832,-61.36018,True
ICASER20,-33.2483,-61.36013,True
ICASER15,-33.23974,-61.34759,True
IGENER293,-33.8183,-61.36565,True
IHUGHE6,-33.88069,-61.32399,True
ICASTE369,-31.30071,-61.46056,False
ISANJE19,-31.6092,-61.14079,False
ICASTE444,-31.27866,-61.41804,False
ISANGE129,-32.36523,-61.34825,True
ICLASO2,-32.42639,-61.31074,True
ICLASO1,-32.42693,-61.30978,True
IBUSTI4,-32.73735,-61.29191,True
IGENER58,-33.80934,-61.33608,True
IASCEN5,-34.27364,-61.12754,True
ILEAND30,-34.53038,-61.23785,True
IDEPAR82,-31.53482,-61.08098,False
IDEPAR103,-31.72911,-61.09136,False
ILASCOLO2,-31.72864,-61.08856,False
IBUSTI3,-32.71486,-61.22759,True
ICASIL4,-33.08065,-61.21213,True
ICASER40,-33.05811,-61.1895,True
ISANFO4,-33.14722,-61.27769,True
ICASER6,-33.30531,-61.22815,True
ICASIL6,-33.15876,-61.19261,True
IJUNN15,-34.54672,-61.16615,True
ILINCO113,-34.77904,-61.20333,False
ISANJE20,-31.55299,-61.07711,False
IDEPAR66,-31.53487,-61.08073,False
IDEPAR88,-31.55239,-61.0754,False
ISANCA75,-31.80574,-61.0513,False
ISANJE7,-32.16021,-61.1085,False
ISANJE2,-32.16008,-61.10822,False
IIRION2,-32.5841,-61.17562,True
ICARCA45,-32.86187,-61.16494,True
ICASER41,-33.04902,-61.16814,True
ICASER12,-33.0443,-61.16682,True
ISANTAFE60,-33.29809,-61.18485,True
ICASER32,-33.37253,-61.18696,True
ICASER31,-33.3748,-61.18524,True
IBIGAN11,-33.36871,-61.18133,True
IJUNN12,-34.45857,-61.065,True
IJUNN23,-34.57778,-61.03011,True
IJUNN16,-34.71059,-61.1149,True
IJUNN7,-34.71643,-61.11986,True
ISANFA1,-32.11105,-61.04335,False
IIRION3,-32.5906,-61.1708,True
IIRIONDO2,-32.70645,-61.16761,True
ISALTO72,-32.65654,-61.1344,True
ICASIL5,-33.03667,-61.16032,True
ICONSTIT3,-33.53832,-61.11558,True
IJUNN17,-34.57616,-61.02756,True
IGENER38,-34.78787,-61.15712,False
ICASIL2,-33.12349,-61.08713,True
ICASER26,-33.37317,-61.17797,True
ICOLN10,-33.89708,-61.10893,True
IJUNN8,-34.65689,-61.04462,True
ICLARK12,-32.55349,-61.01186,True
ISANLORE34,-32.8833,-61.0333,True
IROJAS1,-34.00709,-60.87512,True
IJUNN13,-34.56278,-60.9517,True
IJUNN18,-34.62176,-60.97683,True
IDEPARTA90,-31.58869,-60.93779,False
IDEPAR106,-31.68496,-60.93415,False
ISANAG24,-31.68488,-60.93374,False
ISANAG30,-31.68711,-60.93251,False
IMONJE2,-32.36636,-60.93696,True
ISEROD1,-32.60405,-60.95244,True
IJUNN4,-34.59392,-60.94645,True
IBUENOSA306,-34.62174,-60.97681,True
ISANLORE31,-32.89585,-60.89975,True
IPERGA1,-33.91396,-60.83619,True
IJUNN26,-34.58854,-60.93216,True
IBUENOSA518,-34.60157,-60.94479,True
IOLIVE78,-32.57265,-60.85191,True
ISANLORE35,-32.91821,-60.872,True
IROSARIO31,-32.91897,-60.86213,True
ICONST47,-33.58137,-60.75068,True
ISARGE5,-33.47611,-60.71605,True
IPERGA3,-33.99409,-60.73101,True
IPERGAMI6,-33.95139,-60.73365,True
ISANTA620,-31.66641,-60.81373,False
ISANLO21,-32.61976,-60.76074,True
IROSARIO29,-32.92653,-60.83417,True
IFUNES8,-32.934,-60.83,True
ICONSTIT2,-33.3564,-60.72448,True
IPERGA22,-33.86063,-60.72686,True
ISANTA545,-31.6643,-60.81274,False
IALDEA25,-31.99428,-60.58623,False
ISANLO46,-32.62556,-60.75908,True
ISANLO49,-32.77302,-60.78739,True
IIBARL1,-32.84834,-60.78878,True
IROSAR91,-32.916,-60.81739,True
IROSAR89,-32.91727,-60.81134,True
ISANTAFE35,-32.91727,-60.81128,True
IROSAR60,-32.92734,-60.81408,True
IROSAR62,-32.93438,-60.80925,True
IROSAR61,-33.11406,-60.74818,True
ISANTAFE6,-33.18419,-60.73627,True
IPERGA4,-33.76541,-60.6509,True
IPERGA20,-33.91492,-60.64471,True
IROJAS6,-34.28152,-60.56347,True
ISANTA587,-31.64623,-60.79306,False
ISANTO134,-31.67362,-60.77039,False
IDIAMANT2,-31.9833,-60.5833,False
