stationID,lat,lon
ICASER2,-33.11932,-61.70699
ICASER22,-33.11932,-61.70696
IGENER106,-33.77736,-61.54684
ICENTE27,-32.25333,-61.5048
ICENTE26,-32.27552,-61.51979
ILASRO58,-32.41925,-61.67976
ILASPA72,-32.71113,-61.55494
IBERRE2,-32.92623,-61.54516
ICASER34,-33.11229,-61.70878
ICASER37,-33.11679,-61.70887
IGENER180,-33.42926,-61.4992
IGENER126,-33.44792,-61.49831
IGENER151,-33.85687,-61.47628
ILEAND6,-34.49901,-61.53946
ILASRO40,-32.38337,-61.65745
IBELGR26,-32.48584,-61.57531
IBELGR17,-32.48604,-61.57523
ILASRO28,-32.477,-61.572
ILASRO54,-32.47395,-61.56774
IBELGRAN3,-32.68311,-61.52012
ISANJO74,-33.11068,-61.70217
ICASER23,-33.11057,-61.70212
ICONST1,-33.43489,-61.48514
ICONST54,-33.43706,-61.48428
IGENER311,-33.45,-61.4833
IBUENOSA510,-34.4869,-61.49007
ILEAND21,-34.48828,-61.49057
ICENTE25,-32.27037,-61.43247
IBERRE5,-32.89731,-61.5049
ICONST4,-33.42855,-61.47077
IMELIN3,-33.65755,-61.45428
IMELIN1,-33.68913,-61.41368
IGENER224,-33.818,-61.432
IGENER305,-33.83686,-61.40856
ICENTE28,-32.32371,-61.47873
IPUEBL104,-33.14608,-61.46517
IGENER294,-33.83624,-61.40601
IHUGHE7,-33.83424,-61.40392
IHUGHE2,-33.97365,-61.30061
ICENTE23,-32.31177,-61.39925
ICAADA2,-32.81924,-61.40066
IIRION6,-32.81636,-61.39493
IIRION4,-32.82331,-61.38966
ICASER14,-33.24828,-61.36031
ISANGE132,-32.35879,-61.34379
ICASER21,-33.24656,-61.3591
ICASER16,-33.24832,-61.36018
ICASER20,-33.2483,-61.36013
ICASER15,-33.23974,-61.34759
IGENER293,-33.8183,-61.36565
IHUGHE6,-33.88069,-61.32399
ISANGE129,-32.36523,-61.34825
ICLASO2,-32.42639,-61.31074
ICLASO1,-32.42693,-61.30978
IBUSTI4,-32.73735,-61.29191
IGENER58,-33.80934,-61.33608
IASCEN5,-34.27364,-61.12754
ILEAND30,-34.53038,-61.23785
IBUSTI3,-32.71486,-61.22759
ICASIL4,-33.08065,-61.21213
ICASER40,-33.05811,-61.1895
ISANFO4,-33.14722,-61.27769
ICASER6,-33.30531,-61.22815
ICASIL6,-33.15876,-61.19261
IJUNN15,-34.54672,-61.16615
IIRION2,-32.5841,-61.17562
ICARCA45,-32.86187,-61.16494
ICASER41,-33.04902,-61.16814
ICASER12,-33.0443,-61.16682
ISANTAFE60,-33.29809,-61.18485
ICASER32,-33.37253,-61.18696
ICASER31,-33.3748,-61.18524
IBIGAN11,-33.36871,-61.18133
IJUNN12,-34.45857,-61.065
IJUNN23,-34.57778,-61.03011
IJUNN16,-34.71059,-61.1149
IJUNN7,-34.71643,-61.11986
IIRION3,-32.5906,-61.1708
IIRIONDO2,-32.70645,-61.16761
ISALTO72,-32.65654,-61.1344
ICASIL5,-33.03667,-61.16032
ICONSTIT3,-33.53832,-61.11558
IJUNN17,-34.57616,-61.02756
ICASIL2,-33.12349,-61.08713
ICASER26,-33.37317,-61.17797
ICOLN10,-33.89708,-61.10893
IJUNN8,-34.65689,-61.04462
ICLARK12,-32.55349,-61.01186
ISANLORE34,-32.8833,-61.0333
IROJAS1,-34.00709,-60.87512
IJUNN13,-34.56278,-60.9517
IJUNN18,-34.62176,-60.97683
IMONJE2,-32.36636,-60.93696
ISEROD1,-32.60405,-60.95244
IJUNN4,-34.59392,-60.94645
IBUENOSA306,-34.62174,-60.97681
ISANLORE31,-32.89585,-60.89975
IPERGA1,-33.91396,-60.83619
