stationId,lat,lon,categoria
ISANLORE34,-32.8833,-61.0333,bd
IPERGAMI6,-33.95139,-60.73365,bd
ICONSTIT2,-33.3564,-60.72448,bd
ISARGE5,-33.47611,-60.71605,bd
IPERGA22,-33.86063,-60.72686,bd
IFUNES8,-32.934,-60.83,bd
IROSAR60,-32.92734,-60.81408,bd
IROSAR62,-32.93438,-60.80925,bd
IPERGA4,-33.76541,-60.6509,bd
IPERGA20,-33.91492,-60.64471,bd
ISANLO71,-32.74536,-60.74527,bd
IROSAR89,-32.91727,-60.81134,bd
IROSAR5,-32.93009,-60.80476,bd
IPREZ1,-32.9975,-60.76801,bd
IPERGA17,-33.86997,-60.57628,bd
ISANLORE33,-32.81974,-60.70554,bd
IROSAR38,-32.87644,-60.73495,bd
IROSAR101,-32.92339,-60.78748,bd
ISANTAFE105,-32.99466,-60.6511,bd
IVILLA133,-33.0257,-60.62199,bd
IROSAR56,-32.86011,-60.70646,bd
IROSAR106,-32.91776,-60.71444,bd
IROSAR84,-32.9332,-60.7174,bd
IROSAR30,-32.96858,-60.66728,bd
IROSAR18,-32.91267,-60.6879,bd
IROSAR97,-33.10757,-60.55236,bd
ISANNICO24,-33.59481,-60.35403,bd
IROSAR100,-32.934,-60.661,bd
IROSAR14,-32.9374,-60.64536,bd
IROSARIO39,-32.95218,-60.64463,bd
IPERGA21,-33.89951,-60.54523,bd
IROSARIO11,-32.96047,-60.63338,bd
ICONSTIT4,-33.23227,-60.32683,bd
ISANNI16,-33.34429,-60.23254,bd
ISANNI35,-33.33452,-60.22236,bd
ISANNI7,-33.33976,-60.21611,bd
IAMBUL1,-31.50071,-65.06387,afuera
ISANJAVI8,-31.94694,-65.10321,afuera
IGENERAL16,-33.32032,-65.31464,afuera
ISANLUIS14,-33.63993,-65.5007,afuera
IGENER91,-33.95284,-65.12799,afuera
IGENER78,-33.94718,-65.52156,afuera
IJUSTO2,-34.359,-65.536,afuera
ICRDOBAP4,-34.59965,-64.7212,afuera
IGOBER4,-34.84216,-65.66919,afuera
IREALIC3,-35.05854,-64.21302,afuera
IGOBER5,-35.16777,-65.90795,afuera
IPUNIL5,-31.49334,-64.53042,afuera
IPUNILLA17,-31.47495,-64.52714,afuera
IPUNIL13,-31.47011,-64.5176,afuera
ICHAPA3,-35.06989,-63.57099,afuera
ISANTA206,-31.52745,-64.36377,afuera
ICRDOB150,-31.49408,-64.2459,afuera
ICRDOB21,-31.47535,-64.23797,afuera
ICRDOB175,-31.5033,-64.15252,afuera
ICRDOB32,-31.47176,-64.26004,afuera
ICRDOB164,-31.49152,-64.16435,afuera
IROSEG28,-31.59656,-63.98035,afuera
ICHAPA31,-35.26886,-63.55136,afuera
ICRDOB256,-31.43684,-64.13823,afuera
IGENER80,-35.12061,-63.38136,afuera
ICAPIL4,-31.353,-63.913,afuera
IVILLA1657,-31.56312,-63.55453,afuera
IEMILI8,-34.99788,-63.08625,afuera
IVILLA1626,-31.56448,-63.55346,afuera
IVILLA1658,-31.56323,-63.55311,afuera
IROSEG3,-31.4828,-63.4858,afuera
IPIEDR16,-34.77228,-62.98848,afuera
IROSEG12,-31.53803,-63.35008,afuera
IGENERAL38,-35.03333,-63.01667,afuera
IGENER191,-34.74782,-62.68971,afuera
ISANJU163,-31.42219,-63.05584,afuera
ICORDOBA21,-31.41781,-63.06226,afuera
ISANJU137,-31.40835,-63.04326,afuera
IBUENOSA228,-35.07018,-62.77043,afuera
ISANJU103,-31.38122,-62.82687,afuera
IFLORE99,-34.82686,-62.39644,afuera
IFLORE129,-34.88131,-62.43404,afuera
IFLORE101,-34.90771,-62.45808,afuera
ILAFRA4,-31.43619,-62.51858,afuera
IFLORE44,-34.8864,-62.43049,afuera
IFLORE121,-34.77969,-62.26382,afuera
IGENER327,-35.0701,-62.44444,afuera
ISANJUST11,-31.5668,-62.25848,afuera
ICORON63,-34.90742,-62.05104,afuera
IFRONT90,-31.45447,-62.06335,afuera
IFRONT72,-31.42241,-62.0588,afuera
ISANMA93,-31.89773,-61.84065,afuera
ISANMA59,-31.77376,-61.82968,afuera
ISANMA108,-32.04941,-61.78163,afuera
IROBER34,-35.07138,-62.00558,afuera
ICASTE226,-31.66501,-61.76643,afuera
IPUEBL101,-31.67163,-61.75272,afuera
ILINCO23,-34.99394,-61.73475,afuera
ILINCOLN80,-34.80903,-61.60336,afuera
ILINCO26,-34.86113,-61.54221,afuera
ILINCO64,-34.87087,-61.5377,afuera
ILINCO220,-34.865,-61.526,afuera
ILINCO4,-34.8643,-61.52469,afuera
ILINCO137,-34.86939,-61.52623,afuera
ILINCO42,-34.86227,-61.5207,afuera
IBUENOSA180,-34.86941,-61.51447,afuera
ISANCA85,-31.77721,-61.16613,afuera
ISANJE10,-32.016,-61.228,afuera
ISANJERN2,-32.03773,-61.21395,afuera
ISANJE19,-31.6092,-61.14079,afuera
ISANJE20,-31.55299,-61.07711,afuera
IDEPAR88,-31.55239,-61.0754,afuera
ISANCA75,-31.80574,-61.0513,afuera
ILARRE3,-31.93618,-61.04561,afuera
ISANJE7,-32.16021,-61.1085,afuera
ISANFA1,-32.11105,-61.04335,afuera
IDEPARTA90,-31.58869,-60.93779,afuera
IDEPAR106,-31.68496,-60.93415,afuera
ISANAG30,-31.68711,-60.93251,afuera
IALDEA25,-31.99428,-60.58623,afuera
IROJAS2,-34.47907,-60.65831,afuera
ISANTAFE119,-31.66348,-60.75888,afuera
IIRALA5,-34.83768,-60.61493,afuera
ISANTAFE84,-31.63728,-60.70749,afuera
ISANTA1257,-31.64324,-60.69497,afuera
ISANTAFE65,-31.63302,-60.69578,afuera
IPARAN57,-31.82332,-60.5207,afuera
ISANTAFE122,-31.60392,-60.69562,afuera
ISANTAFE69,-31.57867,-60.68789,afuera
ISANTAFE34,-31.62805,-60.69119,afuera
ISANTAFE126,-31.63593,-60.68828,afuera
ICRESP10,-32.03983,-60.32595,afuera
ICRESP8,-32.0316,-60.30526,afuera
ICHACABU4,-34.63333,-60.46667,afuera
ISANTA1278,-31.62,-60.682,afuera
IPARAN88,-31.75355,-60.50232,afuera
ISANTA71,-31.59816,-60.66792,afuera
ISANTA1351,-31.62635,-60.67867,afuera
ISANTAFE131,-31.63024,-60.60355,afuera
ISANTAFE106,-31.63036,-60.60333,afuera
IPARAN98,-31.72803,-60.51252,afuera
IPARAN81,-31.72767,-60.51256,afuera
IPARAN80,-31.75396,-60.46815,afuera
ISALTO18,-34.31591,-60.2473,afuera
IANGEL21,-31.5647,-60.63927,afuera
ISANJO104,-31.57781,-60.54377,afuera
ISALTO7,-34.37534,-60.23655,afuera
ISANTA827,-31.54426,-60.5169,afuera
IALBER196,-35.02526,-60.27731,afuera
IARROY59,-31.51157,-60.4661,afuera
IVICTO398,-32.63309,-60.13944,afuera
IRAWSO17,-34.60859,-60.06684,afuera
IBRAGA532,-35.11469,-60.48874,afuera
IHERNN1,-32.40747,-59.94801,afuera
IARREC9,-34.10785,-60.0695,afuera
IBUENOSA95,-34.88416,-60.0315,afuera
IARREC10,-34.09054,-60.00072,afuera
ICAPIT69,-34.10656,-59.94738,afuera
ICASTI160,-34.56705,-59.9385,afuera
ICHIVI12,-34.87026,-59.99746,afuera
ICAPIT8,-34.12154,-59.91475,afuera
ISANPEDR35,-33.87165,-59.87793,afuera
IARREC15,-33.99476,-59.88845,afuera
ICHIVI20,-34.89283,-60.00365,afuera
IDEPAR124,-32.59953,-59.49749,afuera
ICHIVI17,-34.8688,-59.97407,afuera
IPARAN47,-31.82864,-59.71447,afuera
IBUENOSA473,-33.67424,-59.66768,afuera
IBARADER2,-33.98331,-59.6709,afuera
ICARME12,-34.37757,-59.82116,afuera
IHERNA51,-31.24903,-60.00265,afuera
INOGOY1,-32.07726,-59.46282,afuera
ICAPIT44,-34.16546,-59.73266,afuera
ILAPAZ46,-31.38665,-59.66655,afuera
IDEPAR95,-32.85635,-59.36646,afuera
IPARAN27,-31.22947,-59.98642,afuera
IBARAD6,-33.8154,-59.51693,afuera
ISANAN26,-34.30557,-59.51685,afuera
ISANANDR8,-34.45724,-59.45503,afuera
IMERCE15,-34.67672,-59.47258,afuera
ISANAN116,-34.28369,-59.4847,afuera
IMERCE29,-34.67438,-59.45762,afuera
IMERCE10,-34.64969,-59.43887,afuera
ISANAN9,-34.25227,-59.48069,afuera
IBUENOSA44,-34.24459,-59.47641,afuera
ISANAN107,-34.44568,-59.4461,afuera
IMERCE12,-34.67188,-59.43087,afuera
INAVARRO2,-34.92495,-59.54168,afuera
