"stationID","geom","obsTimeLocal","precipTotal_mm"
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:09:46.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:14:50.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:19:54.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:24:58.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:29:46.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:44:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:49:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:54:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 14:59:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:04:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:09:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:14:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:19:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:24:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:29:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:44:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:49:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:54:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 15:59:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:04:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:09:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:14:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:19:49.000,0.0
